Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.6143652223191172,0.44285819575471697,1.2396076321601868,0.5627689085144928
2,0.8485308390743328,0.7113698899371069,0.6958658794562022,0.7553003283514492
3,0.6375910527301285,0.7651975235849057,0.5776990155378977,0.788864356884058
4,0.5482374435325839,0.7977422366352201,0.5132756431897482,0.8152740036231885
5,0.4966626434393649,0.8194145538522013,0.4811561976869901,0.8285920516304347
6,0.46524243253581926,0.8295474646226415,0.43849216401576996,0.8422568500905797
7,0.44118434443788707,0.8389458038522013,0.4251224895318349,0.8450025475543478
8,0.4247308033254911,0.8449587264150943,0.4138176143169403,0.8551432291666666
9,0.4106861150489663,0.8491327633647798,0.39805710315704346,0.8506354732789855
10,0.398995153184207,0.8538644850628931,0.3938887019952138,0.8568769814311595
