Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.8791890712279193,0.6929318985849057,0.6530453960100809,0.7699558423913043
2,0.6165261251746483,0.7777749115566038,0.5660042042533556,0.7942566802536232
3,0.562681830154275,0.7965249115566038,0.5518772701422373,0.7996631567028986
4,0.5348639170516212,0.8059416764937106,0.5110785141587257,0.8199869791666666
5,0.5133716849223623,0.8146447523584905,0.4915529116988182,0.830276268115942
6,0.4936045087733359,0.8213246855345913,0.47977882375319797,0.8328308990036232
7,0.4807229593115033,0.8262197818396226,0.4825163905819257,0.8308777740036232
8,0.4737968804701319,0.8292231721698113,0.4650758182009061,0.8340480638586957
9,0.4650535215184374,0.8311578714622642,0.45474102596441907,0.838661967844203
10,0.4553831801661905,0.8357188482704402,0.4443150858084361,0.8405018682065218
