Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.2988892653078403,0.5505110062893082,0.6794933279355367,0.7455913156702899
2,0.5453727644569469,0.7981930522798742,0.453974982102712,0.8300710484601449
3,0.4364136018843021,0.8400452044025157,0.3999769712487857,0.8545417232789855
4,0.3916728918282491,0.8561369889937107,0.37616660942633945,0.8584550498188405
5,0.36518621866433126,0.8661802279874214,0.3494260733326276,0.8714546535326088
6,0.34838932752609253,0.8713590801886792,0.3349689617753029,0.8791256227355072
7,0.33341620693791585,0.8783559355345911,0.31801392138004303,0.8851972939311595
8,0.323484886367366,0.8810018671383647,0.3268803358078003,0.8832300158514492
9,0.3132544563345189,0.8850481525157233,0.30948668097456294,0.8854237432065218
10,0.3031443178934871,0.8874005011792453,0.30560748279094696,0.8875679347826088
