Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.7842288753896389,0.7159714033018867,0.5898845940828323,0.7841230751811595
2,0.5419634276965879,0.7999103282232704,0.4887307584285736,0.8190387228260869
3,0.48943620892065876,0.8171580188679246,0.46817783266305923,0.8296818387681159
4,0.4635718878147737,0.8295069280660378,0.4703767274816831,0.821579200634058
5,0.43938234982625496,0.837534394654088,0.41753514607747394,0.8491493999094203
6,0.42043402397407675,0.8447032232704402,0.4206086148818334,0.8494607676630435
7,0.41385757417049046,0.8454648191823899,0.40301791081825894,0.8514775815217391
8,0.4013689421820191,0.8499447228773584,0.4031789302825928,0.851279438405797
9,0.39733136290649196,0.8529100334119496,0.38808079808950424,0.8535085484601449
10,0.3848645509976261,0.857082841981132,0.39242788155873615,0.8577615489130435
