Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,0.8566655246716626,0.6924589720911949,0.6014107018709183,0.7858355978260869
2,0.5802348475411253,0.7845002948113208,0.5348343973358473,0.8085795969202899
3,0.5261137555792647,0.8068715605345912,0.5009172608455023,0.8177720221920289
4,0.4952764781016224,0.8167158018867925,0.4743606721361478,0.8269856770833334
5,0.4642797885638363,0.828218356918239,0.4554475173354149,0.8368079144021738
6,0.4507025109147126,0.8329599056603774,0.45232104261716205,0.8393130095108696
7,0.4409862166305758,0.8358797661163523,0.4226069500048955,0.847861469655797
8,0.42920067400302525,0.8417366843553459,0.4242963269352913,0.8406717051630435
9,0.4214644980318141,0.8437303459119497,0.410041240354379,0.850295799365942
10,0.4083957545599847,0.8482974646226416,0.40593957155942917,0.8491989356884058
