Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.4393925953586146,0.538459365172956,0.8538906226555506,0.7259822237318841
2,0.675311249944399,0.7643781937893083,0.5751474897066752,0.8025433084239131
3,0.49974205949396455,0.821204304245283,0.4682976206143697,0.8345009624094203
4,0.43731203815847075,0.8439502260220126,0.4295792207121849,0.8448044044384058
5,0.40624276253412356,0.8533694477201258,0.38502101848522824,0.8672724184782609
6,0.3824852887751921,0.8613453223270441,0.3829999392231305,0.8628071218297101
7,0.36662806289375954,0.8661925117924528,0.3674105281631152,0.8665152287137681
8,0.35300309478111985,0.8715003439465409,0.3580344095826149,0.8700676517210145
9,0.34011870650750287,0.8779493415880503,0.3333311080932617,0.8779579936594203
10,0.3308011585811399,0.8806087853773585,0.3439604565501213,0.8736554574275363
