Epoch,Train Loss,Train Accuracy,Val Loss,Val Accuracy
1,1.0996834135280464,0.6245344437893081,0.555705706278483,0.7917303555253623
2,0.4850867910767501,0.8191357114779874,0.4239533692598343,0.8447690217391304
3,0.3951584857027486,0.85366794418239,0.37612684319416684,0.861526268115942
4,0.35735970763665326,0.8689711084905661,0.3541445831457774,0.8730751811594203
5,0.33217967821742006,0.8785537047955975,0.3226546049118042,0.8844330276268115
6,0.31242522442678233,0.8845015231918238,0.31025732060273487,0.8874334805253623
7,0.30463213529789224,0.8869177476415094,0.3129239020248254,0.8848859261775363
8,0.28606195705679227,0.8953137283805032,0.2862716130912304,0.8993928328804347
9,0.276810995812686,0.8980321344339622,0.2959827085336049,0.8875679347826088
10,0.2695931477366753,0.9003795695754717,0.2577311893304189,0.9003764719202899
